ID,nextID,talkTxt,contentCn,contentEn
1,-1,沈碧关于皇帝无子问题自述,皇帝无子的问题，我也深受其害，我曾经喝的补身体的汤药里也被动过手脚，太医诊断出有避孕药成份，导致我已无法怀孕,aaa
2,-1,沈碧关于自已家境问题自述,臣妾的父亲是朝中重臣，母亲是先太后的亲侄女，哥哥也曾是骁勇大将军，一定有人对我皇后的位置不满，所以才暗下杀手,aaa
3,-1,琉璃自述1,我是皇后娘娘的贴身丫鬟， 大大小小的事，很多由我经手,aaa
4,-1,琉璃自述2,皇后忙着调养自己的身体，想给皇帝生孩子,aaa
5,-1,苏衍自述1,苏衍自述内容,aaa
6,-1,董菀歌自述1,董菀歌自述内容,aaa
7,-1,傅瑜自述1,傅瑜自述内容,aaa
8,-1,杜衡自述1,杜衡自述内容,aaa
9,-1,沈碧质疑苏衍,沈碧质疑苏衍,aaa
10,-1,沈碧质疑傅瑜,沈碧质疑傅瑜,aaa
11,-1,沈碧质疑董苑歌,沈碧质疑董苑歌,aaa
12,-1,沈碧质疑杜衡,沈碧质疑杜衡,aaa
13,-1,沈碧质疑琉璃,沈碧质疑琉璃,aaa
14,-1,苏衍质疑沈碧,苏衍质疑沈碧,aaa
15,-1,苏衍质疑傅瑜,苏衍质疑傅瑜,aaa
16,-1,苏衍质疑董苑歌,苏衍质疑董苑歌,aaa
17,-1,苏衍质疑杜衡,苏衍质疑杜衡,aaa
18,-1,苏衍质疑琉璃,苏衍质疑琉璃,aaa
19,-1,傅瑜质疑沈碧,傅瑜质疑沈碧,aaa
20,-1,傅瑜质疑苏衍,傅瑜质疑苏衍,aaa
21,-1,傅瑜质疑董苑歌,傅瑜质疑董苑歌,aaa
22,-1,傅瑜质疑杜衡,傅瑜质疑杜衡,aaa
23,-1,傅瑜质疑琉璃,傅瑜质疑琉璃,aaa
24,-1,董苑歌质疑沈碧,董苑歌质疑沈碧,aaa
25,-1,董苑歌质疑苏衍,董苑歌质疑苏衍,aaa
26,-1,董苑歌质疑傅瑜,董苑歌质疑傅瑜,aaa
27,-1,董苑歌质疑杜衡,董苑歌质疑杜衡,aaa
28,-1,董苑歌质疑琉璃,董苑歌质疑琉璃,aaa
29,-1,杜衡质疑沈碧,杜衡质疑沈碧,aaa
30,-1,杜衡质疑苏衍,杜衡质疑苏衍,aaa
31,-1,杜衡质疑傅瑜,杜衡质疑傅瑜,aaa
32,-1,杜衡质疑董苑歌,杜衡质疑董苑歌,aaa
33,-1,杜衡质疑琉璃,杜衡质疑琉璃,aaa
34,-1,琉璃质疑沈碧,琉璃质疑沈碧,aaa
35,-1,琉璃质疑苏衍,琉璃质疑苏衍,aaa
36,-1,琉璃质疑傅瑜,琉璃质疑傅瑜,aaa
37,-1,琉璃质疑董苑歌,琉璃质疑董苑歌,aaa
38,-1,琉璃质疑杜衡,琉璃质疑杜衡,aaa
